order_id,order_date,ship_date,customer_id,customer_name,segment,region,state,city,category,sub_category,product_name,ship_mode,quantity,unit_price,discount_parsed,cleaned_discount,recorded_sales,cost,calculated_sales,calculated_profit,profit_margin,shipping_delay_days,order_month,order_year,payment_status,order_status,is_region_filled,is_shipmode_filled,is_discount_filled,is_shipping_invalid,is_discount_invalid,is_duplicate_conflict,is_completed_sale,data_quality_flag
ORD-2024-10001,7/21/2024,7/27/2024,CUST-4655,Karan Malhotra,Consumer,North,Rajasthan,Jaipur,Office Supplies,Paper,Pro Paper 122,Second Class,8,2976.45,0.2,0.2,19049.28,15841.89,19049.28,3207.39,0.168373293,6,July,2024,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2024-10002,8/31/2024,9/5/2024,CUST-2054,Mira Das,Small Business,East,Odisha,Bhubaneswar,Furniture,Tables,Pro Tables 258,Same Day,3,2437.5,0,0,7312.5,4904.73,7312.5,2407.77,0.329267692,5,August,2024,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2024-10003,6/8/2024,6/15/2024,CUST-6843,Isha Nair,Consumer,East,Odisha,Bhubaneswar,Office Supplies,Art,Elite Art 525,First Class,4,1065.43,0.55,0,4261.72,2465.69,4261.72,1796.03,0.42143313,7,June,2024,Paid,Completed,No,No,No,No,Yes,No,Yes,Invalid
ORD-2024-10004,11/28/2024,11/29/2024,CUST-3722,Arjun Bose,Small Business,South,Telangana,Hyderabad,Furniture,Furnishings,Smart Furnishings 294,Standard Class,6,1848.43,0.25,0.25,8317.93,6796.77,8317.935,1521.165,0.182877721,1,November,2024,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2025-10005,8/29/2025,9/1/2025,CUST-8130,Ananya Rao,Small Business,West,Maharashtra,Mumbai,Furniture,Chairs,Elite Chairs 543,First Class,7,2973.76,0,0,20816.32,17705.37,20816.32,3110.95,0.149447645,3,August,2025,Paid,Cancelled,No,No,No,No,No,No,No,Clean
ORD-2024-10006,5/24/2024,5/28/2024,CUST-6056,Vikram Iyer,Small Business,West,Madhya Pradesh,Indore,Technology,Accessories,Pro Accessories 821,Same Day,3,1053.11,0.2,0.2,2527.46,1533.58,2527.464,993.884,0.393233692,4,May,2024,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2025-10007,4/10/2025,4/16/2025,CUST-3656,Neha Gupta,Consumer,East,Odisha,Bhubaneswar,Technology,Copiers,Eco Copiers 790,Standard Class,4,1719.87,0.15,0.15,5847.56,4727.25,5847.558,1120.308,0.191585616,6,April,2025,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2025-10008,2/23/2025,2/26/2025,CUST-4683,Isha Nair,Small Business,South,Andhra Pradesh,Vijayawada,Office Supplies,Art,Eco Art 848,First Class,1,2980.71,0,0,2980.71,2357.22,2980.71,623.49,0.209174995,3,February,2025,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2024-10009,11/5/2024,11/10/2024,CUST-2598,Aditi Sen,Corporate,South,Telangana,Hyderabad,Office Supplies,Labels,Classic Labels 815,First Class,8,3134.2,0,0,25073.6,17347.23,25073.6,7726.37,0.308147613,5,November,2024,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2025-10010,9/7/2025,9/12/2025,CUST-2483,Mira Das,Home Office,South,Telangana,Hyderabad,Office Supplies,Paper,Pro Paper 622,Second Class,9,852.04,0.2,0.2,6134.69,3800.19,6134.688,2334.498,0.380540624,5,September,2025,Paid,Completed,No,No,No,No,No,No,Yes,Clean
